🔒 Row ID,Tab Name,Main Image,Subheaders,Tab Header,Analytics Header
vK7l9.QkTZ6OVby84fGEsg,Crisis Resources New,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/NSfaaNV0fRhAK9yZqEUi/pub/62OOPJBZPpU7jd1RdHF9.png,You are not alone. Help is available. ,Crisis Resources,Resources
vz5rAYPZT3O7W7OvMScleQ,Location Search New,https://hczpjsblllaprflndifh.supabase.co/storage/v1/object/public/app-images/splash/location-search.jpg,Find resources near you,Location Search,Books and Podcasts
9BsLWxDfRRabo.EMQCjD0g,Community Search New,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/NSfaaNV0fRhAK9yZqEUi/pub/uuLcUHt8u2To1OBUNOgt.png,Search resources by demographic,Community Search,
6t57Jr1cTciDwp146ZPoVA,Category Search New,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/NSfaaNV0fRhAK9yZqEUi/pub/PlRYeqUmoff6LpoHstqC.png,Search resources by type,Category Search,
F5kVtq7KS6i1CuS.cWj3LQ,Books and Podcasts New,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/NSfaaNV0fRhAK9yZqEUi/pub/r7xGczlmVnh2CdOlCqQV.png,Books and podcasts with a Utah LGBTQ+ focus,Books & Podcasts,
S-07ioZvRe-MczTj0nF9kA,All Resources New,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/NSfaaNV0fRhAK9yZqEUi/pub/uvPB3QfmIlVlx9FzgeS1.png,"See all our resources, listed alphabetically. ",All Resources,
